date,code,name,pe_ttm,pb
2026-03-27,801010.SI,农林牧渔,21.71,2.37
2026-03-27,801030.SI,基础化工,28.61,2.63
2026-03-27,801040.SI,钢铁,22.04,1.18
2026-03-27,801050.SI,有色金属,25.65,3.7
2026-03-27,801080.SI,电子,55.11,5.18
2026-03-27,801880.SI,汽车,25.07,2.45
2026-03-27,801110.SI,家用电器,14.35,2.38
2026-03-27,801120.SI,食品饮料,19.69,4.07
2026-03-27,801130.SI,纺织服饰,19.6,1.76
2026-03-27,801140.SI,轻工制造,23.2,2.31
2026-03-27,801150.SI,医药生物,27.0,2.62
2026-03-27,801160.SI,公用事业,19.89,1.93
2026-03-27,801170.SI,交通运输,15.44,1.26
2026-03-27,801180.SI,房地产,32.29,0.94
2026-03-27,801200.SI,商贸零售,30.85,2.04
2026-03-27,801210.SI,社会服务,35.0,2.62
2026-03-27,801780.SI,银行,6.84,0.67
2026-03-27,801790.SI,非银金融,10.29,1.31
2026-03-27,801230.SI,综合,58.93,2.91
2026-03-27,801710.SI,建筑材料,25.89,1.51
2026-03-27,801720.SI,建筑装饰,9.77,0.77
2026-03-27,801730.SI,电力设备,35.1,3.9
2026-03-27,801890.SI,机械设备,33.68,2.91
2026-03-27,801740.SI,国防军工,74.82,4.04
2026-03-27,801750.SI,计算机,48.96,4.25
2026-03-27,801760.SI,传媒,25.7,2.31
2026-03-27,801770.SI,通信,25.75,2.44
2026-03-27,801950.SI,煤炭,19.12,1.86
2026-03-27,801960.SI,石油石化,16.77,1.58
2026-03-27,801970.SI,环保,24.43,1.72
2026-03-27,801980.SI,美容护理,31.22,2.78
2026-04-10,801010.SI,农林牧渔,24.43,2.3
2026-04-10,801030.SI,基础化工,28.61,2.68
2026-04-10,801040.SI,钢铁,22.19,1.19
2026-04-10,801050.SI,有色金属,27.98,3.84
2026-04-10,801080.SI,电子,59.49,5.55
2026-04-10,801880.SI,汽车,25.17,2.48
2026-04-10,801110.SI,家用电器,14.68,2.4
2026-04-10,801120.SI,食品饮料,19.85,4.15
2026-04-10,801130.SI,纺织服饰,20.05,1.81
2026-04-10,801140.SI,轻工制造,23.76,2.32
2026-04-10,801150.SI,医药生物,28.58,2.72
2026-04-10,801160.SI,公用事业,18.59,1.79
2026-04-10,801170.SI,交通运输,15.84,1.28
2026-04-10,801180.SI,房地产,30.96,0.92
2026-04-10,801200.SI,商贸零售,30.87,2.12
2026-04-10,801210.SI,社会服务,34.13,2.62
2026-04-10,801780.SI,银行,6.79,0.66
2026-04-10,801790.SI,非银金融,10.42,1.32
2026-04-10,801230.SI,综合,99.74,2.95
2026-04-10,801710.SI,建筑材料,27.75,1.64
2026-04-10,801720.SI,建筑装饰,10.85,0.78
2026-04-10,801730.SI,电力设备,34.74,3.81
2026-04-10,801890.SI,机械设备,36.2,3.05
2026-04-10,801740.SI,国防军工,72.8,4.1
2026-04-10,801750.SI,计算机,51.75,4.35
2026-04-10,801760.SI,传媒,26.76,2.38
2026-04-10,801770.SI,通信,28.25,2.68
2026-04-10,801950.SI,煤炭,18.4,1.75
2026-04-10,801960.SI,石油石化,16.4,1.53
2026-04-10,801970.SI,环保,24.39,1.72
2026-04-10,801980.SI,美容护理,31.43,2.76
2026-04-11,801010.SI,农林牧渔,24.43,2.3
2026-04-11,801030.SI,基础化工,28.61,2.68
2026-04-11,801040.SI,钢铁,22.19,1.19
2026-04-11,801050.SI,有色金属,27.98,3.84
2026-04-11,801080.SI,电子,59.49,5.55
2026-04-11,801880.SI,汽车,25.17,2.48
2026-04-11,801110.SI,家用电器,14.68,2.4
2026-04-11,801120.SI,食品饮料,19.85,4.15
2026-04-11,801130.SI,纺织服饰,20.05,1.81
2026-04-11,801140.SI,轻工制造,23.76,2.32
2026-04-11,801150.SI,医药生物,28.58,2.72
2026-04-11,801160.SI,公用事业,18.59,1.79
2026-04-11,801170.SI,交通运输,15.84,1.28
2026-04-11,801180.SI,房地产,30.96,0.92
2026-04-11,801200.SI,商贸零售,30.87,2.12
2026-04-11,801210.SI,社会服务,34.13,2.62
2026-04-11,801780.SI,银行,6.79,0.66
2026-04-11,801790.SI,非银金融,10.42,1.32
2026-04-11,801230.SI,综合,99.74,2.95
2026-04-11,801710.SI,建筑材料,27.75,1.64
2026-04-11,801720.SI,建筑装饰,10.85,0.78
2026-04-11,801730.SI,电力设备,34.74,3.81
2026-04-11,801890.SI,机械设备,36.2,3.05
2026-04-11,801740.SI,国防军工,72.8,4.1
2026-04-11,801750.SI,计算机,51.75,4.35
2026-04-11,801760.SI,传媒,26.76,2.38
2026-04-11,801770.SI,通信,28.25,2.68
2026-04-11,801950.SI,煤炭,18.4,1.75
2026-04-11,801960.SI,石油石化,16.4,1.53
2026-04-11,801970.SI,环保,24.39,1.72
2026-04-11,801980.SI,美容护理,31.43,2.76
